OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Gender,Age,City,State,Region,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMode,SalesPerson,Segment,Channel,Returned
35,2024-10-08,2024-10-12,C6238,Customer 2213,Male,26,Mumbai,Maharashtra,West,P254,Printer,Electronics,Office,5,160.88,0.1,723.96,563.08,160.88,Debit Card,Priya,Home Office,Online,Yes
36,2024-03-06,2024-03-10,C4388,Customer 1721,Female,55,Bengaluru,Karnataka,South,P812,Chair,Furniture,Office,9,118.36,0.0,1065.24,745.67,319.57,Credit Card,Karan,Corporate,Retail,Yes
37,2024-12-26,2024-12-29,C4613,Customer 2000,Male,35,Kolkata,West Bengal,East,P546,Desk,Furniture,Office,7,253.82,0.2,1421.39,1243.72,177.67,Cash,Amit,Corporate,Retail,No
38,2024-06-18,2024-06-25,C1444,Customer 344,Female,26,Bengaluru,Karnataka,South,P987,Phone,Electronics,Mobiles,10,506.82,0.15,4307.97,3547.74,760.23,Cash,Neha,Consumer,Retail,No
39,2024-12-01,2024-12-03,C5558,Customer 1727,Female,23,Bengaluru,Karnataka,South,P581,Chair,Furniture,Office,6,132.54,0.15,675.95,556.67,119.28,Credit Card,Sneha,Home Office,Online,No
40,2024-08-17,2024-08-23,C4266,Customer 84,Male,33,Mumbai,Maharashtra,West,P229,Printer,Electronics,Office,1,198.3,0.05,188.38,138.81,49.57,Cash,Sneha,Consumer,Online,No
41,2025-12-17,2025-12-20,C3683,Customer 1275,Male,55,Kolkata,West Bengal,East,P126,Chair,Furniture,Office,3,125.08,0.0,375.24,262.67,112.57,UPI,Karan,Home Office,Retail,No
42,2024-07-22,2024-07-23,C2983,Customer 2319,Male,40,Hyderabad,Telangana,South,P645,Printer,Electronics,Office,4,151.34,0.1,544.82,423.75,121.07,Cash,Sneha,Corporate,Online,No
43,2024-01-13,2024-01-20,C8532,Customer 2898,Male,45,Bengaluru,Karnataka,South,P280,Desk,Furniture,Office,2,243.35,0.1,438.03,340.69,97.34,Net Banking,Sneha,Corporate,Retail,No
44,2025-03-22,2025-03-29,C2419,Customer 1143,Female,33,Chennai,Tamil Nadu,South,P868,Headphones,Electronics,Audio,5,74.31,0.05,352.97,260.08,92.89,Cash,Karan,Home Office,Retail,No
45,2024-01-30,2024-02-03,C5232,Customer 1395,Female,56,Kolkata,West Bengal,East,P818,Chair,Furniture,Office,3,119.4,0.1,322.38,250.74,71.64,UPI,Karan,Consumer,Online,Yes
46,2024-09-04,2024-09-10,C9041,Customer 1836,Male,23,Bengaluru,Karnataka,South,P401,Desk,Furniture,Office,9,275.82,0.15,2110.02,1737.67,372.35,Debit Card,Priya,Home Office,Online,No
47,2025-11-10,2025-11-15,C6419,Customer 1442,Female,35,Delhi,Delhi,North,P413,Desk,Furniture,Office,9,253.09,0.15,1936.14,1594.47,341.67,UPI,Neha,Consumer,Online,No
48,2024-05-02,2024-05-08,C5530,Customer 2968,Female,24,Hyderabad,Telangana,South,P952,Printer,Electronics,Office,3,157.79,0.15,402.36,331.36,71.0,Debit Card,Rahul,Consumer,Retail,Yes
49,2024-11-05,2024-11-06,C5786,Customer 2857,Male,58,Chennai,Tamil Nadu,South,P989,Headphones,Electronics,Audio,3,72.78,0.0,218.34,152.84,65.5,Cash,Amit,Consumer,Retail,No
50,2025-05-05,2025-05-09,C2869,Customer 268,Female,49,Delhi,Delhi,North,P175,Phone,Electronics,Mobiles,1,450.5,0.15,382.93,315.35,67.58,Net Banking,Sneha,Home Office,Online,Yes
51,2024-06-01,2024-06-08,C7818,Customer 2484,Male,51,Hyderabad,Telangana,South,P489,Chair,Furniture,Office,2,143.71,0.0,287.42,201.19,86.23,Cash,Priya,Corporate,Retail,No
52,2025-08-05,2025-08-10,C4457,Customer 1084,Male,28,Mumbai,Maharashtra,West,P345,Headphones,Electronics,Audio,2,94.32,0.05,179.21,132.05,47.16,Debit Card,Karan,Consumer,Online,Yes
53,2025-02-22,2025-02-26,C5720,Customer 2896,Female,62,Chennai,Tamil Nadu,South,P980,Headphones,Electronics,Audio,8,73.32,0.05,557.23,410.59,146.64,Cash,Amit,Home Office,Online,No
54,2025-10-02,2025-10-07,C3441,Customer 1089,Male,22,Chennai,Tamil Nadu,South,P161,Phone,Electronics,Mobiles,7,422.96,0.05,2812.68,2072.5,740.18,Debit Card,Rahul,Home Office,Retail,No
55,2024-05-07,2024-05-11,C9847,Customer 2023,Female,23,Chennai,Tamil Nadu,South,P712,Chair,Furniture,Office,7,141.25,0.2,791.0,692.12,98.88,Credit Card,Priya,Home Office,Retail,No
56,2024-01-27,2024-01-28,C5415,Customer 2361,Male,29,Pune,Maharashtra,West,P581,Printer,Electronics,Office,10,186.27,0.0,1862.7,1303.89,558.81,Net Banking,Sneha,Corporate,Retail,Yes
57,2025-08-22,2025-08-26,C6460,Customer 1316,Male,28,Chennai,Tamil Nadu,South,P437,Desk,Furniture,Office,2,247.0,0.15,419.9,345.8,74.1,Cash,Sneha,Corporate,Retail,No
58,2025-07-17,2025-07-18,C7622,Customer 2108,Male,60,Bengaluru,Karnataka,South,P990,Laptop,Electronics,Computers,6,630.67,0.0,3784.02,2648.81,1135.21,Net Banking,Priya,Corporate,Online,Yes
59,2025-06-14,2025-06-17,C5375,Customer 2250,Male,36,Hyderabad,Telangana,South,P548,Desk,Furniture,Office,8,276.0,0.05,2097.6,1545.6,552.0,Cash,Amit,Consumer,Online,Yes
60,2024-11-14,2024-11-19,C8560,Customer 482,Male,49,Mumbai,Maharashtra,West,P833,Headphones,Electronics,Audio,7,66.98,0.0,468.86,328.2,140.66,UPI,Karan,Home Office,Retail,No
61,2025-05-09,2025-05-13,C9327,Customer 560,Male,35,Pune,Maharashtra,West,P891,Desk,Furniture,Office,9,214.46,0.05,1833.63,1351.1,482.53,Cash,Rahul,Home Office,Retail,Yes
62,2024-10-16,2024-10-22,C3434,Customer 1830,Female,40,Delhi,Delhi,North,P440,Headphones,Electronics,Audio,10,95.96,0.15,815.66,671.72,143.94,Net Banking,Karan,Corporate,Retail,No
63,2024-07-12,2024-07-18,C1715,Customer 1304,Female,63,Pune,Maharashtra,West,P930,Headphones,Electronics,Audio,7,71.47,0.15,425.25,350.2,75.05,Cash,Priya,Home Office,Online,No
64,2024-02-07,2024-02-09,C2633,Customer 2155,Female,18,Hyderabad,Telangana,South,P839,Headphones,Electronics,Audio,6,91.83,0.15,468.33,385.69,82.64,Debit Card,Priya,Home Office,Online,Yes
65,2025-04-25,2025-05-02,C6383,Customer 2763,Female,38,Delhi,Delhi,North,P741,Chair,Furniture,Office,10,129.25,0.0,1292.5,904.75,387.75,Cash,Karan,Consumer,Online,Yes
66,2025-10-08,2025-10-14,C2646,Customer 1818,Male,62,Delhi,Delhi,North,P406,Phone,Electronics,Mobiles,2,486.79,0.0,973.58,681.51,292.07,Credit Card,Amit,Corporate,Online,No
67,2025-01-02,2025-01-05,C3950,Customer 697,Male,23,Bengaluru,Karnataka,South,P724,Phone,Electronics,Mobiles,4,506.23,0.2,1619.94,1417.44,202.5,Cash,Karan,Home Office,Online,No
68,2025-08-20,2025-08-22,C8622,Customer 1179,Male,22,Pune,Maharashtra,West,P552,Desk,Furniture,Office,5,245.96,0.0,1229.8,860.86,368.94,UPI,Karan,Corporate,Retail,No
69,2025-04-12,2025-04-19,C4886,Customer 1563,Female,54,Delhi,Delhi,North,P402,Phone,Electronics,Mobiles,7,570.67,0.0,3994.69,2796.28,1198.41,UPI,Amit,Home Office,Retail,No
70,2024-01-09,2024-01-14,C5689,Customer 943,Female,32,Kolkata,West Bengal,East,P751,Printer,Electronics,Office,1,209.56,0.15,178.13,146.69,31.44,Debit Card,Karan,Corporate,Online,Yes
71,2025-10-04,2025-10-10,C3153,Customer 370,Female,38,Mumbai,Maharashtra,West,P865,Chair,Furniture,Office,8,97.6,0.1,702.72,546.56,156.16,Cash,Neha,Consumer,Online,No
72,2025-06-27,2025-07-02,C5835,Customer 1388,Male,47,Delhi,Delhi,North,P177,Phone,Electronics,Mobiles,5,582.81,0.15,2476.94,2039.83,437.11,Debit Card,Neha,Home Office,Retail,No
73,2024-04-02,2024-04-09,C7038,Customer 2756,Female,55,Bengaluru,Karnataka,South,P490,Laptop,Electronics,Computers,5,710.24,0.15,3018.52,2485.84,532.68,UPI,Amit,Home Office,Online,No
74,2024-01-26,2024-01-31,C8606,Customer 2872,Female,59,Hyderabad,Telangana,South,P518,Chair,Furniture,Office,10,106.63,0.0,1066.3,746.41,319.89,Credit Card,Neha,Consumer,Online,No
75,2025-05-19,2025-05-20,C7078,Customer 2747,Female,55,Mumbai,Maharashtra,West,P860,Phone,Electronics,Mobiles,9,427.13,0.15,3267.54,2690.92,576.62,Debit Card,Priya,Home Office,Online,No
76,2025-09-22,2025-09-26,C4868,Customer 1486,Male,61,Delhi,Delhi,North,P476,Laptop,Electronics,Computers,6,620.84,0.15,3166.28,2607.53,558.75,Net Banking,Sneha,Corporate,Online,No
77,2024-10-09,2024-10-11,C1349,Customer 208,Female,33,Mumbai,Maharashtra,West,P228,Desk,Furniture,Office,2,266.28,0.2,426.05,372.79,53.26,Net Banking,Neha,Consumer,Online,Yes
78,2024-08-26,2024-08-29,C3129,Customer 2213,Female,29,Kolkata,West Bengal,East,P212,Phone,Electronics,Mobiles,10,400.57,0.05,3805.41,2803.99,1001.42,Credit Card,Neha,Consumer,Retail,Yes
79,2025-08-25,2025-08-28,C9619,Customer 466,Male,48,Mumbai,Maharashtra,West,P559,Phone,Electronics,Mobiles,5,410.48,0.15,1744.54,1436.68,307.86,UPI,Karan,Home Office,Online,No
80,2025-05-30,2025-06-01,C1996,Customer 1962,Female,45,Hyderabad,Telangana,South,P802,Laptop,Electronics,Computers,9,644.46,0.0,5800.14,4060.1,1740.04,Credit Card,Priya,Home Office,Retail,Yes
81,2024-03-23,2024-03-26,C9984,Customer 2917,Female,42,Hyderabad,Telangana,South,P711,Phone,Electronics,Mobiles,2,425.24,0.2,680.38,595.34,85.04,Net Banking,Rahul,Corporate,Retail,Yes
82,2025-12-19,2025-12-20,C8046,Customer 1850,Male,44,Kolkata,West Bengal,East,P447,Printer,Electronics,Office,9,195.9,0.05,1674.95,1234.17,440.78,Cash,Priya,Corporate,Online,No
83,2025-03-13,2025-03-16,C2099,Customer 374,Male,23,Chennai,Tamil Nadu,South,P542,Chair,Furniture,Office,6,141.77,0.15,723.03,595.43,127.6,Credit Card,Sneha,Home Office,Retail,Yes
84,2025-07-23,2025-07-24,C7730,Customer 1449,Female,64,Hyderabad,Telangana,South,P152,Headphones,Electronics,Audio,9,74.55,0.0,670.95,469.66,201.29,UPI,Karan,Corporate,Retail,Yes
85,2025-08-14,2025-08-19,C6736,Customer 2279,Female,25,Pune,Maharashtra,West,P880,Phone,Electronics,Mobiles,8,444.85,0.0,3558.8,2491.16,1067.64,UPI,Karan,Consumer,Retail,Yes
86,2025-09-15,2025-09-21,C6062,Customer 1392,Female,18,Kolkata,West Bengal,East,P285,Printer,Electronics,Office,5,146.08,0.1,657.36,511.28,146.08,Debit Card,Karan,Home Office,Retail,Yes
87,2024-05-25,2024-05-31,C7163,Customer 1720,Female,39,Chennai,Tamil Nadu,South,P261,Laptop,Electronics,Computers,2,768.91,0.05,1460.93,1076.47,384.46,UPI,Rahul,Home Office,Retail,Yes
88,2024-02-23,2024-02-25,C8259,Customer 2712,Female,49,Pune,Maharashtra,West,P721,Headphones,Electronics,Audio,1,85.57,0.1,77.01,59.9,17.11,Cash,Priya,Corporate,Online,Yes
89,2024-12-19,2024-12-23,C1744,Customer 904,Female,56,Mumbai,Maharashtra,West,P156,Chair,Furniture,Office,10,119.36,0.1,1074.24,835.52,238.72,Credit Card,Neha,Corporate,Online,Yes
90,2024-09-18,2024-09-21,C3878,Customer 530,Female,52,Delhi,Delhi,North,P820,Laptop,Electronics,Computers,1,699.27,0.15,594.38,489.49,104.89,Debit Card,Karan,Home Office,Retail,Yes
91,2025-02-10,2025-02-17,C6129,Customer 2359,Female,54,Chennai,Tamil Nadu,South,P514,Laptop,Electronics,Computers,7,565.25,0.0,3956.75,2769.72,1187.03,Cash,Rahul,Consumer,Retail,Yes
92,2024-11-28,2024-11-30,C2443,Customer 1789,Male,33,Kolkata,West Bengal,East,P546,Headphones,Electronics,Audio,8,90.62,0.1,652.46,507.47,144.99,Net Banking,Priya,Home Office,Online,No
93,2024-11-13,2024-11-19,C9363,Customer 2594,Male,51,Delhi,Delhi,North,P622,Phone,Electronics,Mobiles,6,555.82,0.0,3334.92,2334.44,1000.48,Debit Card,Rahul,Corporate,Online,Yes
94,2024-04-15,2024-04-17,C3902,Customer 2573,Female,47,Delhi,Delhi,North,P872,Phone,Electronics,Mobiles,3,520.48,0.0,1561.44,1093.01,468.43,Net Banking,Karan,Corporate,Retail,No
95,2024-06-03,2024-06-07,C1920,Customer 1442,Male,37,Mumbai,Maharashtra,West,P572,Desk,Furniture,Office,8,263.14,0.1,1894.61,1473.58,421.03,Cash,Amit,Consumer,Retail,No
96,2024-03-19,2024-03-25,C8581,Customer 2378,Male,46,Kolkata,West Bengal,East,P929,Laptop,Electronics,Computers,10,726.34,0.15,6173.89,5084.38,1089.51,Net Banking,Sneha,Consumer,Retail,No
97,2025-05-28,2025-05-30,C2381,Customer 2067,Male,20,Mumbai,Maharashtra,West,P353,Desk,Furniture,Office,2,281.1,0.1,505.98,393.54,112.44,Cash,Priya,Home Office,Online,No
98,2025-01-16,2025-01-19,C6482,Customer 270,Female,24,Bengaluru,Karnataka,South,P671,Desk,Furniture,Office,6,267.89,0.0,1607.34,1125.14,482.2,Cash,Rahul,Corporate,Online,No
99,2024-03-24,2024-03-29,C3112,Customer 2438,Male,37,Chennai,Tamil Nadu,South,P672,Phone,Electronics,Mobiles,6,462.05,0.15,2356.45,1940.61,415.84,Cash,Sneha,Corporate,Online,Yes
100,2025-10-23,2025-10-29,C3953,Customer 878,Female,49,Bengaluru,Karnataka,South,P296,Headphones,Electronics,Audio,6,64.58,0.1,348.73,271.24,77.49,Debit Card,Neha,Consumer,Online,No
101,2024-04-13,2024-04-18,C3147,Customer 2447,Female,27,Kolkata,West Bengal,East,P266,Headphones,Electronics,Audio,9,65.21,0.1,528.2,410.82,117.38,Debit Card,Sneha,Home Office,Online,No
102,2024-02-14,2024-02-18,C5668,Customer 1839,Male,52,Delhi,Delhi,North,P344,Printer,Electronics,Office,4,213.81,0.2,684.19,598.67,85.52,UPI,Priya,Consumer,Retail,No
103,2025-04-17,2025-04-24,C4271,Customer 2477,Male,34,Delhi,Delhi,North,P153,Desk,Furniture,Office,9,252.75,0.05,2161.01,1592.32,568.69,Cash,Rahul,Home Office,Online,Yes
104,2024-10-18,2024-10-19,C3414,Customer 1792,Male,32,Kolkata,West Bengal,East,P936,Phone,Electronics,Mobiles,5,489.86,0.2,1959.44,1714.51,244.93,Cash,Rahul,Consumer,Retail,Yes
105,2025-02-09,2025-02-14,C4678,Customer 116,Female,24,Delhi,Delhi,North,P959,Phone,Electronics,Mobiles,7,598.91,0.1,3773.13,2934.66,838.47,UPI,Neha,Consumer,Online,No
106,2025-04-28,2025-05-04,C2298,Customer 78,Female,31,Kolkata,West Bengal,East,P955,Phone,Electronics,Mobiles,8,489.72,0.0,3917.76,2742.43,1175.33,Debit Card,Karan,Home Office,Retail,Yes
107,2024-10-22,2024-10-24,C8489,Customer 258,Male,49,Delhi,Delhi,North,P711,Laptop,Electronics,Computers,1,626.76,0.2,501.41,438.73,62.68,Net Banking,Amit,Home Office,Online,Yes
108,2024-10-25,2024-10-29,C4068,Customer 2722,Male,51,Mumbai,Maharashtra,West,P469,Headphones,Electronics,Audio,6,71.7,0.15,365.67,301.14,64.53,Credit Card,Karan,Home Office,Online,No
109,2025-04-26,2025-04-27,C6850,Customer 277,Female,33,Chennai,Tamil Nadu,South,P850,Desk,Furniture,Office,6,225.37,0.0,1352.22,946.55,405.67,Credit Card,Karan,Home Office,Retail,Yes
110,2024-02-15,2024-02-18,C8840,Customer 2588,Male,26,Hyderabad,Telangana,South,P164,Chair,Furniture,Office,3,135.86,0.15,346.44,285.31,61.13,Cash,Amit,Corporate,Online,Yes
111,2024-07-23,2024-07-24,C8756,Customer 1038,Male,59,Delhi,Delhi,North,P295,Chair,Furniture,Office,9,115.11,0.2,828.79,725.19,103.6,UPI,Rahul,Consumer,Retail,No
112,2024-05-07,2024-05-14,C6554,Customer 766,Female,62,Delhi,Delhi,North,P609,Desk,Furniture,Office,7,274.33,0.15,1632.26,1344.22,288.04,UPI,Karan,Corporate,Online,No
113,2024-03-21,2024-03-25,C2311,Customer 1344,Female,37,Hyderabad,Telangana,South,P556,Phone,Electronics,Mobiles,9,458.75,0.0,4128.75,2890.12,1238.63,Net Banking,Sneha,Corporate,Online,No
114,2024-12-25,2024-12-29,C5498,Customer 2620,Male,22,Mumbai,Maharashtra,West,P787,Printer,Electronics,Office,6,188.27,0.15,960.18,790.73,169.45,Cash,Rahul,Home Office,Online,Yes
115,2024-05-26,2024-06-02,C4866,Customer 2643,Female,41,Hyderabad,Telangana,South,P492,Printer,Electronics,Office,8,146.51,0.0,1172.08,820.46,351.62,Net Banking,Amit,Home Office,Online,No
116,2025-01-14,2025-01-17,C7521,Customer 1288,Female,33,Bengaluru,Karnataka,South,P216,Laptop,Electronics,Computers,10,598.55,0.1,5386.95,4189.85,1197.1,Credit Card,Sneha,Consumer,Retail,No
117,2025-07-29,2025-07-30,C5678,Customer 2843,Female,30,Delhi,Delhi,North,P225,Chair,Furniture,Office,8,106.3,0.2,680.32,595.28,85.04,Debit Card,Amit,Corporate,Online,No
118,2024-03-30,2024-04-06,C9882,Customer 1190,Female,28,Chennai,Tamil Nadu,South,P828,Chair,Furniture,Office,6,130.06,0.2,624.29,546.25,78.04,Debit Card,Rahul,Home Office,Online,Yes
119,2024-07-24,2024-07-31,C7044,Customer 1915,Male,57,Pune,Maharashtra,West,P188,Phone,Electronics,Mobiles,8,405.26,0.2,2593.66,2269.46,324.2,Credit Card,Rahul,Corporate,Retail,No
120,2025-02-23,2025-03-02,C8372,Customer 1909,Female,26,Hyderabad,Telangana,South,P999,Laptop,Electronics,Computers,3,832.27,0.0,2496.81,1747.77,749.04,Net Banking,Sneha,Home Office,Online,Yes
121,2025-03-19,2025-03-24,C3697,Customer 664,Female,63,Kolkata,West Bengal,East,P330,Laptop,Electronics,Computers,2,705.07,0.1,1269.13,987.1,282.03,UPI,Karan,Corporate,Online,No
122,2024-07-20,2024-07-26,C9740,Customer 383,Male,55,Hyderabad,Telangana,South,P694,Chair,Furniture,Office,3,126.0,0.2,302.4,264.6,37.8,Debit Card,Neha,Home Office,Retail,Yes
123,2024-01-30,2024-01-31,C7825,Customer 2532,Male,49,Mumbai,Maharashtra,West,P742,Printer,Electronics,Office,10,163.06,0.05,1549.07,1141.42,407.65,Net Banking,Rahul,Home Office,Retail,No
124,2024-09-07,2024-09-14,C1981,Customer 648,Female,44,Kolkata,West Bengal,East,P595,Printer,Electronics,Office,7,165.42,0.0,1157.94,810.56,347.38,Cash,Neha,Corporate,Online,No
125,2024-11-22,2024-11-28,C9437,Customer 2301,Male,38,Kolkata,West Bengal,East,P347,Chair,Furniture,Office,7,102.28,0.1,644.36,501.17,143.19,Cash,Amit,Corporate,Retail,Yes
126,2024-05-24,2024-05-25,C5067,Customer 655,Female,54,Mumbai,Maharashtra,West,P838,Chair,Furniture,Office,7,137.48,0.15,818.01,673.65,144.36,UPI,Neha,Consumer,Retail,No
127,2025-05-25,2025-05-28,C8491,Customer 987,Male,55,Bengaluru,Karnataka,South,P461,Laptop,Electronics,Computers,2,824.67,0.2,1319.47,1154.54,164.93,Credit Card,Amit,Corporate,Retail,No
128,2024-10-19,2024-10-24,C6992,Customer 1652,Female,20,Mumbai,Maharashtra,West,P510,Laptop,Electronics,Computers,7,597.5,0.1,3764.25,2927.75,836.5,Credit Card,Karan,Home Office,Online,No
129,2025-07-20,2025-07-23,C5582,Customer 2553,Male,26,Mumbai,Maharashtra,West,P199,Desk,Furniture,Office,9,245.04,0.2,1764.29,1543.75,220.54,Cash,Rahul,Corporate,Retail,Yes
130,2024-07-22,2024-07-27,C3245,Customer 2923,Female,48,Hyderabad,Telangana,South,P631,Desk,Furniture,Office,9,204.03,0.0,1836.27,1285.39,550.88,Cash,Neha,Home Office,Online,No
